airline,airline_name,total_flights,delayed_flights,delay_rate,delay_rate_pct,avg_delay_mins,cancellation_rate,reliability_score,reliability_rank
QX,Horizon Air,101691,13398.0,0.1318,13.18,5.0,1.5744,0.5804,1
US,Other,119635,17588.0,0.147,14.7,6.21,1.6074,0.5172,2
AS,Alaska Airlines,1267085,201222.0,0.1588,15.88,5.48,1.1878,0.5069,3
YX,Republic Airways,602835,86818.0,0.144,14.4,7.09,2.9484,0.5035,4
9E,Endeavor Air,369125,51136.0,0.1385,13.85,7.81,1.924,0.4992,5
MQ,Envoy Air (AA Regional),933747,152591.0,0.1634,16.34,7.54,2.5749,0.4483,6
DL,Delta Air Lines,4552968,736002.0,0.1617,16.17,9.19,0.6905,0.4139,7
OH,PSA Airlines,463321,76871.0,0.1659,16.59,8.79,1.9026,0.4134,8
HA,Hawaiian Airlines,59923,8556.0,0.1428,14.28,11.25,0.5858,0.409,9
OO,SkyWest Airlines,2949929,488598.0,0.1656,16.56,9.64,1.5047,0.3942,10
EV,ExpressJet Airlines,759023,134622.0,0.1774,17.74,9.67,2.6429,0.3665,11
G4,Allegiant Air,79109,16024.0,0.2026,20.26,11.44,1.5953,0.2673,12
VX,Virgin America,179589,38487.0,0.2143,21.43,11.2,1.2044,0.2459,13
UA,United Airlines,3867417,781230.0,0.202,20.2,12.45,1.226,0.245,14
AA,American Airlines,5261258,1088878.0,0.207,20.7,13.19,1.6312,0.2162,15
YV,Mesa Airlines,327582,65826.0,0.2009,20.09,14.86,2.8176,0.1912,16
NK,Spirit Airlines,799447,179898.0,0.225,22.5,13.86,2.0253,0.1592,17
WN,Southwest Airlines,3954977,1000962.0,0.2531,25.31,12.73,1.5209,0.121,18
F9,Frontier Airlines,630019,164308.0,0.2608,26.08,16.37,1.4836,0.0183,19
B6,JetBlue Airways,1205249,314639.0,0.2611,26.11,17.13,1.8629,0.0,20
