year,month,severity_score,severity_score_normalized,airport
2022,10,27.94200187090739,30.110969693123035,TPA
2019,10,32.727659574468085,72.90564877011512,TPA
2017,3,29.3843984962406,43.00928054325846,TPA
2017,8,29.87993803253292,47.44053257572476,TPA
2020,6,28.871391076115486,38.42182584668972,TPA
2019,5,30.813751087902524,55.79094802493552,TPA
2018,10,30.426136363636363,52.32478960784997,TPA
2017,10,32.708333333333336,72.73282815937425,TPA
2019,3,28.995515695067265,39.53178263061163,TPA
2020,11,34.288256227758005,86.86093706757934,TPA
2020,3,28.01125703564728,30.730268592679234,TPA
2018,1,33.08114961961116,76.06665483779817,TPA
2018,3,30.648479427549194,54.313042979599736,TPA
2020,9,29.237885462555067,41.69912034260228,TPA
2018,8,28.983050847457626,39.420318504625094,TPA
2022,2,32.13035019455253,67.56434255756577,TPA
2019,8,32.43394715772618,70.27919084228516,TPA
2022,7,30.332,51.48299612389566,TPA
2019,6,33.38308457711443,78.76664100665096,TPA
2017,7,28.342455043002346,33.691933073018845,TPA
2019,1,31.876114081996434,65.29089269538173,TPA
2022,11,32.40968801313629,70.0622588400999,TPA
2019,2,31.275322283609576,59.91844573058421,TPA
2022,3,33.06194690265487,75.89493881453568,TPA
2020,12,29.439501779359432,43.502029390591304,TPA
2018,5,32.54988028731046,71.3158970553641,TPA
2017,12,27.234944868532654,23.788269788519816,TPA
2020,4,33.83701188455009,82.8257849424027,TPA
2017,9,29.77960242005186,46.543303688475746,TPA
2020,1,31.18173679498657,59.081578323852376,TPA
2019,4,32.49772520473157,70.84951183530612,TPA
2017,4,31.063218390804597,58.021753867976436,TPA
2019,9,30.31700288184438,51.34888773204976,TPA
2020,8,28.4257748776509,34.43700215346726,TPA
2022,1,29.995655951346656,48.4753143143783,TPA
2018,9,27.7455919395466,28.354617588402874,TPA
2022,5,29.807520143240822,46.79295171565141,TPA
2019,12,32.43517017828201,70.29012743145078,TPA
2018,7,29.84251968503937,47.10592732984886,TPA
2020,7,31.306491372226787,60.19716836958605,TPA
2020,2,32.257914338919925,68.70505653213026,TPA
2020,10,32.160940325497286,67.8378879964153,TPA
2018,12,33.34615384615385,78.43639616311336,TPA
2022,6,31.085271317829456,58.218957260528924,TPA
2018,11,28.892433910665453,38.60999671205814,TPA
2018,6,28.266832917705734,33.015699045503524,TPA
2017,2,29.454463480613164,43.63582107467329,TPA
2017,11,29.54124189063948,44.41181769581164,TPA
2017,5,31.58744394618834,62.70952424275972,TPA
2022,9,31.18049615055603,59.07048413710893,TPA
2019,7,31.24051593323217,59.60719768768007,TPA
2018,2,30.659553831231815,54.41207337017995,TPA
2019,11,27.761194029850746,28.494135809064453,TPA
2020,5,29.558303886925795,44.56439080085056,TPA
2017,6,29.8482428115016,47.15710511468832,TPA
2022,4,34.09251101321586,85.11052904509265,TPA
2017,1,28.942558746736292,39.058226904502206,TPA
2022,12,30.64700704225352,54.29987650173835,TPA
2018,4,31.907593778591036,65.57239287710279,TPA
2022,8,26.165008291873963,14.220600041313142,TPA
2024,7,25.109075043630018,4.778151942339448,TPA
2015,2,35.75757575757576,100.0,TPA
2021,8,30.70439739413681,54.81307695256326,TPA
2015,12,30.543951261966928,53.378323119198626,TPA
2016,7,24.574742268041238,0.0,TPA
2021,6,31.888053467000834,65.39765798895043,TPA
2016,11,28.22854291417166,32.67329920945205,TPA
2024,12,32.430426716141,70.24771007680228,TPA
2021,5,30.28328611898017,51.047383083019916,TPA
2023,8,30.372384937238493,51.84412943842,TPA
2023,9,27.441860465116278,25.63856646670309,TPA
2021,10,28.09435707678076,31.473372218529068,TPA
2024,3,31.569981583793737,62.55337095288962,TPA
2023,7,27.96069868995633,30.278161836924856,TPA
2016,5,30.2,50.30261549743338,TPA
2024,5,30.659851301115243,54.41473342841747,TPA
2021,11,30.94161958568738,56.934383612208826,TPA
2023,6,33.83525243578388,82.81005146333538,TPA
2016,2,30.583905789990187,53.735607595093306,TPA
2021,9,26.23590633130963,14.854589982252664,TPA
2024,9,29.991356957649092,48.436871519879155,TPA
2024,10,34.11531690140845,85.3144656253335,TPA
2015,4,28.778280542986426,37.58920562377217,TPA
2015,8,30.50600343053173,53.038983080998904,TPA
2016,9,29.256521739130434,41.86577109880649,TPA
2024,2,30.014520813165536,48.64400914325629,TPA
2023,3,32.111607142857146,67.39673698861117,TPA
2021,12,27.298519736842106,24.356773901265022,TPA
2015,11,31.2312734082397,59.52454846464443,TPA
2021,7,30.21445591739476,50.43188432190696,TPA
2016,10,32.77625570776256,73.34020887815889,TPA
2015,9,26.592128801431127,18.04003015226744,TPA
2023,2,28.900394477317555,38.68118230790513,TPA
2023,11,32.8639391056137,74.12429815153672,TPA
2023,4,31.45117540687161,61.49097315332198,TPA
2023,5,30.546946216955334,53.40510483772468,TPA
2015,10,29.444444444444443,43.54622807323857,TPA
2021,3,30.530575539568346,53.25871369810602,TPA
2016,6,31.302698145025296,60.16324827943143,TPA
2021,2,33.17343173431734,76.89186711331439,TPA
2024,1,32.99416180150125,75.28878563147117,TPA
2016,12,30.485812553740328,52.858430658303,TPA
2016,1,32.13632585203658,67.61777854487295,TPA
2016,4,31.560418648905802,62.46785653566357,TPA
2024,11,30.964491362763916,57.138909389132365,TPA
2015,3,30.56368330464716,53.55477251995826,TPA
2023,10,31.15714285714286,58.86165250749531,TPA
2024,6,33.303108808290155,78.05147549069186,TPA
2021,1,29.35996563573883,42.790795125187685,TPA
2015,7,30.901162790697676,56.57260772573456,TPA
2015,6,27.60147601476015,27.06589300065575,TPA
2016,8,33.19320937752627,77.0687242866546,TPA
2015,1,31.04419410745234,57.851633447511794,TPA
2015,5,29.990791896869244,48.431818589596524,TPA
2023,12,32.422723475355056,70.17882556025151,TPA
2024,4,30.839057899901864,56.01724855979568,TPA
2024,8,33.74897456931912,82.03853084161187,TPA
2021,4,30.757978723404257,55.29221606625562,TPA
2023,1,29.331641285956007,42.537510930181725,TPA
2016,3,31.218450826805917,59.40988538354084,TPA
2024,7,34.250234301780694,88.12025186752886,SFO
2020,6,32.4844398340249,79.70278857153818,SFO
2021,8,31.29,74.00894727473542,SFO
2016,7,34.106776180698155,87.43639341697047,SFO
2024,12,28.73552983081033,61.83190216416548,SFO
2021,6,33.695871097683785,85.47762725388166,SFO
2016,11,25.978947368421053,48.69139678642277,SFO
2023,8,32.28848114169215,78.76866224462903,SFO
2023,9,32.11009174311926,77.91828795571783,SFO
2021,5,33.671013039117355,85.3591299998618,SFO
2021,10,33.4521484375,84.3158122272973,SFO
2020,11,26.114583333333332,49.337967368171405,SFO
2020,3,29.45539419087137,65.26346339031812,SFO
2024,3,33.42297174111212,84.17672821982764,SFO
2023,7,34.74763406940063,90.4913343257814,SFO
2020,9,35.94111969111969,96.18062693517591,SFO
2016,5,32.15491559086395,78.13196123427075,SFO
2024,5,33.18726937269373,83.05314556557826,SFO
2023,6,33.68287740628166,85.41568690779154,SFO
2021,11,23.950803212851405,39.023324255771634,SFO
2016,2,23.782894736842106,38.222912056219165,SFO
2021,9,31.10169491525424,73.11130535307375,SFO
2024,9,32.10815765352887,77.9090682370951,SFO
2024,10,27.530009233610343,56.08523936462214,SFO
2016,9,30.600436681222707,70.72182975791233,SFO
2024,2,29.203168685927306,64.06111568284246,SFO
2020,12,25.204795204795204,45.00104802736574,SFO
2023,3,36.48253068932956,98.76150896232897,SFO
2021,12,34.69124423963134,90.22252652792173,SFO
2021,7,34.09700722394221,87.3898252367916,SFO
2016,10,29.95398773006135,67.64023650428291,SFO
2023,2,30.57471264367816,70.59920442081345,SFO
2023,11,24.242871189773844,40.41559924619192,SFO
2020,4,32.92168674698795,81.7871250605008,SFO
2023,4,33.037234042553195,82.3379338534446,SFO
2023,5,33.54775828460039,84.771580094622,SFO
2021,3,30.494505494505493,70.2168605260027,SFO
2016,6,33.78378378378378,85.89670309878402,SFO
2021,2,28.717514124293785,61.74602209651123,SFO
2024,1,28.306451612903224,59.78650547939024,SFO
2016,12,29.299492385786802,64.52028645436029,SFO
2016,1,29.621072088724585,66.05324252350839,SFO
2016,4,31.832460732984295,76.59483334063457,SFO
2020,1,29.28832116788321,64.4670337579723,SFO
2024,11,29.36592449177154,64.83696533404473,SFO
2020,8,33.740234375,85.68910501378976,SFO
2023,10,26.72699069286453,52.25728587617419,SFO
2024,6,33.49146110056926,84.50321393485487,SFO
2021,1,25.64516129032258,47.10025347251408,SFO
2020,7,33.375506072874494,83.95046150107544,SFO
2020,2,25.183946488294314,44.90166312775294,SFO
2020,10,27.862985685071575,57.67252322454177,SFO
2016,8,32.92574257425743,81.80645900779709,SFO
2024,4,33.094795539033456,82.61232693414141,SFO
2023,12,26.698504983388705,52.121495772426876,SFO
2020,5,33.13725490196079,82.81472881926352,SFO
2024,8,33.55072463768116,84.78572056716071,SFO
2021,4,32.52302968270215,79.88674465519917,SFO
2023,1,35.196850393700785,92.63272846354992,SFO
2016,3,33.772342427093136,85.84216266287346,SFO
2022,10,28.506160164271048,60.73850721669923,SFO
2015,2,24.443194600674914,41.370531991411404,SFO
2019,10,25.95263724434876,48.565977601044445,SFO
2017,3,31.47830474268416,74.90658756580473,SFO
2017,8,33.57,84.87760535771733,SFO
2019,5,34.856262833675565,91.00916278932573,SFO
2018,10,29.549138804457954,65.71033977285929,SFO
2017,10,25.79449152542373,47.812104028113076,SFO
2015,12,27.12857142857143,54.171603292450776,SFO
2019,3,31.1231884057971,73.21376386172295,SFO
2018,1,27.253649635036496,54.76784551161808,SFO
2018,3,30.80919080919081,71.71695135453355,SFO
2018,8,33.4009900990099,84.07194271451559,SFO
2022,2,23.369304556354916,36.25134615350248,SFO
2019,8,33.30978809283552,83.63718682785269,SFO
2022,7,33.58555885262117,84.95177371267478,SFO
2019,6,31.97052401746725,77.25297484627434,SFO
2017,7,33.85847107438016,86.25273407450173,SFO
2019,1,23.92094017094017,38.88096846987209,SFO
2022,11,26.439075630252102,50.88480764263261,SFO
2015,4,31.83368869936034,76.60068700145854,SFO
2015,8,32.15955284552845,78.15406681996907,SFO
2019,2,36.74233825198638,100.0,SFO
2022,3,31.15501519756839,73.36548075542487,SFO
2018,5,33.877245508982035,86.34223096502325,SFO
2015,11,24.155005382131325,39.99674686880087,SFO
2015,9,28.101750547045953,58.81070464867768,SFO
2017,12,18.681672025723472,13.905611419249682,SFO
2017,9,29.922279792746114,67.48908618446015,SFO
2015,10,28.033199195171026,58.483923418565944,SFO
2017,4,32.518097207859356,79.8632317681074,SFO
2019,4,32.5734494015234,80.12709320103612,SFO
2015,3,26.690871369294605,52.08510667526626,SFO
2019,9,31.20689655172414,73.61279685156565,SFO
2022,1,21.20343839541547,25.926758979488667,SFO
2018,9,31.703586497890296,75.98049562267732,SFO
2022,5,33.333333333333336,83.74942593682302,SFO
2015,7,32.77553083923155,81.09040638146037,SFO
2019,12,29.56301747930083,65.7764987954523,SFO
2018,7,33.619289340101524,85.11256543872578,SFO
2015,6,33.233160621761655,83.27190709852576,SFO
